wav_filename,wav_filesize,transcript
/content/mydrive/MyDrive/DeepSpeechv/DeepSpeech/data/Torgo/M01/wav_headMic/0002.wav,38294,air
/content/mydrive/MyDrive/DeepSpeechv/DeepSpeech/data/Torgo/M01/wav_headMic/0003.wav,62094,gadget
/content/mydrive/MyDrive/DeepSpeechv/DeepSpeech/data/Torgo/M01/wav_headMic/0004.wav,32344,knee
/content/mydrive/MyDrive/DeepSpeechv/DeepSpeech/data/Torgo/M01/wav_headMic/0005.wav,46796,race
/content/mydrive/MyDrive/DeepSpeechv/DeepSpeech/data/Torgo/M01/wav_headMic/0009.wav,62094,store
/content/mydrive/MyDrive/DeepSpeechv/DeepSpeech/data/Torgo/M01/wav_headMic/0011.wav,72294,range
/content/mydrive/MyDrive/DeepSpeechv/DeepSpeech/data/Torgo/M01/wav_headMic/0012.wav,52744,sip
/content/mydrive/MyDrive/DeepSpeechv/DeepSpeech/data/Torgo/M01/wav_headMic/0013.wav,251646,the quick brown fox jumps over the lazy dog
/content/mydrive/MyDrive/DeepSpeechv/DeepSpeech/data/Torgo/M01/wav_headMic/0014.wav,58696,the
/content/mydrive/MyDrive/DeepSpeechv/DeepSpeech/data/Torgo/M01/wav_headMic/0015.wav,71444,swore
/content/mydrive/MyDrive/DeepSpeechv/DeepSpeech/data/Torgo/M01/wav_headMic/0016.wav,85896,train
/content/mydrive/MyDrive/DeepSpeechv/DeepSpeech/data/Torgo/M01/wav_headMic/0018.wav,47644,chair
/content/mydrive/MyDrive/DeepSpeechv/DeepSpeech/data/Torgo/M01/wav_headMic/0019.wav,68894,dark
/content/mydrive/MyDrive/DeepSpeechv/DeepSpeech/data/Torgo/M01/wav_headMic/0020.wav,57844,feed
/content/mydrive/MyDrive/DeepSpeechv/DeepSpeech/data/Torgo/M01/wav_headMic/0022.wav,68044,floor
/content/mydrive/MyDrive/DeepSpeechv/DeepSpeech/data/Torgo/M01/wav_headMic/0023.wav,67194,sip
/content/mydrive/MyDrive/DeepSpeechv/DeepSpeech/data/Torgo/M01/wav_headMic/0024.wav,41676,feet
/content/mydrive/MyDrive/DeepSpeechv/DeepSpeech/data/Torgo/M01/wav_headMic/0025.wav,47288,wish
/content/mydrive/MyDrive/DeepSpeechv/DeepSpeech/data/Torgo/M01/wav_headMic/0026.wav,62070,sigh
/content/mydrive/MyDrive/DeepSpeechv/DeepSpeech/data/Torgo/M01/wav_headMic/0027.wav,50112,troop
/content/mydrive/MyDrive/DeepSpeechv/DeepSpeech/data/Torgo/M01/wav_headMic/0028.wav,38154,mere
/content/mydrive/MyDrive/DeepSpeechv/DeepSpeech/data/Torgo/M01/wav_headMic/0029.wav,158468,i was conscious all the time
/content/mydrive/MyDrive/DeepSpeechv/DeepSpeech/data/Torgo/M01/wav_headMic/0030.wav,62816,slip
/content/mydrive/MyDrive/DeepSpeechv/DeepSpeech/data/Torgo/M01/wav_headMic/0031.wav,74026,fate
/content/mydrive/MyDrive/DeepSpeechv/DeepSpeech/data/Torgo/M01/wav_headMic/0036.wav,41892,pile
/content/mydrive/MyDrive/DeepSpeechv/DeepSpeech/data/Torgo/M01/wav_headMic/0037.wav,59828,air
/content/mydrive/MyDrive/DeepSpeechv/DeepSpeech/data/Torgo/M01/wav_headMic/0038.wav,57586,galore
/content/mydrive/MyDrive/DeepSpeechv/DeepSpeech/data/Torgo/M01/wav_headMic/0039.wav,55344,bad
/content/mydrive/MyDrive/DeepSpeechv/DeepSpeech/data/Torgo/M01/wav_headMic/0040.wav,51606,play
/content/mydrive/MyDrive/DeepSpeechv/DeepSpeech/data/Torgo/M01/wav_headMic/0042.wav,279528,the islands are sparsely populated
/content/mydrive/MyDrive/DeepSpeechv/DeepSpeech/data/Torgo/M01/wav_headMic/0043.wav,239922,both figures would go higher in later years
/content/mydrive/MyDrive/DeepSpeechv/DeepSpeech/data/Torgo/M01/wav_headMic/0044.wav,44538,back
/content/mydrive/MyDrive/DeepSpeechv/DeepSpeech/data/Torgo/M01/wav_headMic/0045.wav,237526,one validated acts of school districts
/content/mydrive/MyDrive/DeepSpeechv/DeepSpeech/data/Torgo/M01/wav_headMic/0047.wav,61222,forward
/content/mydrive/MyDrive/DeepSpeechv/DeepSpeech/data/Torgo/M01/wav_headMic/0049.wav,66228,shear
/content/mydrive/MyDrive/DeepSpeechv/DeepSpeech/data/Torgo/M01/wav_headMic/0051.wav,61778,droop
/content/mydrive/MyDrive/DeepSpeechv/DeepSpeech/data/Torgo/M01/wav_headMic/0053.wav,56218,peer
/content/mydrive/MyDrive/DeepSpeechv/DeepSpeech/data/Torgo/M01/wav_headMic/0054.wav,62890,jaw
/content/mydrive/MyDrive/DeepSpeechv/DeepSpeech/data/Torgo/M01/wav_headMic/0055.wav,60666,gnaw
/content/mydrive/MyDrive/DeepSpeechv/DeepSpeech/data/Torgo/M01/wav_headMic/0057.wav,56772,root
/content/mydrive/MyDrive/DeepSpeechv/DeepSpeech/data/Torgo/M01/wav_headMic/0058.wav,74014,witch
/content/mydrive/MyDrive/DeepSpeechv/DeepSpeech/data/Torgo/M01/wav_headMic/0060.wav,60666,error
/content/mydrive/MyDrive/DeepSpeechv/DeepSpeech/data/Torgo/M01/wav_headMic/0061.wav,175236,i feel i can play this weekend
/content/mydrive/MyDrive/DeepSpeechv/DeepSpeech/data/Torgo/M01/wav_headMic/0063.wav,57886,rock
/content/mydrive/MyDrive/DeepSpeechv/DeepSpeech/data/Torgo/M01/wav_headMic/0064.wav,48430,tile
/content/mydrive/MyDrive/DeepSpeechv/DeepSpeech/data/Torgo/M01/wav_headMic/0065.wav,40644,suit
/content/mydrive/MyDrive/DeepSpeechv/DeepSpeech/data/Torgo/M01/wav_headMic/0066.wav,376012,two other cases also were under advisement
/content/mydrive/MyDrive/DeepSpeechv/DeepSpeech/data/Torgo/M01/wav_headMic/0067.wav,62892,charlie
/content/mydrive/MyDrive/DeepSpeechv/DeepSpeech/data/Torgo/M01/wav_headMic/0068.wav,51768,boot
/content/mydrive/MyDrive/DeepSpeechv/DeepSpeech/data/Torgo/M01/wav_headMic/0069.wav,219174,i tried to tell people in the community
/content/mydrive/MyDrive/DeepSpeechv/DeepSpeech/data/Torgo/M01/wav_headMic/0070.wav,70678,area
/content/mydrive/MyDrive/DeepSpeechv/DeepSpeech/data/Torgo/M01/wav_headMic/0071.wav,59554,steer
/content/mydrive/MyDrive/DeepSpeechv/DeepSpeech/data/Torgo/M01/wav_headMic/0072.wav,47638,deer
/content/mydrive/MyDrive/DeepSpeechv/DeepSpeech/data/Torgo/M01/wav_headMic/0075.wav,51072,bad
