wav_filename,wav_filesize,transcript
/content/mydrive/MyDrive/DeepSpeech-0.6.1/data/TORGO/TORGO/M02/wav_headMic/0111.wav,91630,goat
/content/mydrive/MyDrive/DeepSpeech-0.6.1/data/TORGO/TORGO/M02/wav_headMic/0049.wav,76942,swarm
/content/mydrive/MyDrive/DeepSpeech-0.6.1/data/TORGO/TORGO/M02/wav_headMic/0116.wav,92526,feed
/content/mydrive/MyDrive/DeepSpeech-0.6.1/data/TORGO/TORGO/M04/wav_headMic/0036.wav,55404,knew
/content/mydrive/MyDrive/DeepSpeech-0.6.1/data/TORGO/TORGO/M04/wav_headMic/0112.wav,47724,beat
/content/mydrive/MyDrive/DeepSpeech-0.6.1/data/TORGO/TORGO/M04/wav_headMic/0115.wav,55404,rain
/content/mydrive/MyDrive/DeepSpeech-0.6.1/data/TORGO/TORGO/M04/wav_headMic/0245.wav,75564,droop
/content/mydrive/MyDrive/DeepSpeech-0.6.1/data/TORGO/TORGO/M04/wav_headMic/0236.wav,187884,their house is grey and white
/content/mydrive/MyDrive/DeepSpeech-0.6.1/data/TORGO/TORGO/M04/wav_headMic/0184.wav,172204,briar
/content/mydrive/MyDrive/DeepSpeech-0.6.1/data/TORGO/TORGO/M04/wav_headMic/0167.wav,51564,lip
/content/mydrive/MyDrive/DeepSpeech-0.6.1/data/TORGO/TORGO/M04/wav_headMic/0015.wav,56044,up
/content/mydrive/MyDrive/DeepSpeech-0.6.1/data/TORGO/TORGO/M04/wav_headMic/0243.wav,63724,fruit
/content/mydrive/MyDrive/DeepSpeech-0.6.1/data/TORGO/TORGO/M04/wav_headMic/0043.wav,42924,meat
/content/mydrive/MyDrive/DeepSpeech-0.6.1/data/TORGO/TORGO/M04/wav_headMic/0205.wav,51564,rock
/content/mydrive/MyDrive/DeepSpeech-0.6.1/data/TORGO/TORGO/M04/wav_headMic/0071.wav,63404,trace
/content/mydrive/MyDrive/DeepSpeech-0.6.1/data/TORGO/TORGO/M04/wav_headMic/0131.wav,51564,wish
/content/mydrive/MyDrive/DeepSpeech-0.6.1/data/TORGO/TORGO/M04/wav_headMic/0030.wav,71404,park
/content/mydrive/MyDrive/DeepSpeech-0.6.1/data/TORGO/TORGO/M04/wav_headMic/0078.wav,76844,store
/content/mydrive/MyDrive/DeepSpeech-0.6.1/data/TORGO/TORGO/M04/wav_headMic/0169.wav,79724,area
/content/mydrive/MyDrive/DeepSpeech-0.6.1/data/TORGO/TORGO/M04/wav_headMic/0155.wav,220844,i was conscious all the time
/content/mydrive/MyDrive/DeepSpeech-0.6.1/data/TORGO/TORGO/M04/wav_headMic/0270.wav,87724,tile
/content/mydrive/MyDrive/DeepSpeech-0.6.1/data/TORGO/TORGO/M04/wav_headMic/0095.wav,91244,beta
/content/mydrive/MyDrive/DeepSpeech-0.6.1/data/TORGO/TORGO/M04/wav_headMic/0128.wav,99884,dagger
/content/mydrive/MyDrive/DeepSpeech-0.6.1/data/TORGO/TORGO/M04/wav_headMic/0230.wav,75564,cycle
/content/mydrive/MyDrive/DeepSpeech-0.6.1/data/TORGO/TORGO/M04/wav_headMic/0282.wav,721004,it also provides for funds to clear slums and help colleges build dormitories
